,chr,pos (cM),LOD PG_16_0,LOD PG_16_1,LOD PG_18_0,LOD PG_18_2,LOD PG_18_3,LOD MGDG_16_0,LOD MGDG_18_2,LOD MGDG_18_3,LOD DGDG_16_0,LOD DGDG_18_2,LOD DGDG_18_3,LOD PC_16_0,LOD PC_18_1,LOD PC_18_2,LOD PC_18_3,LOD SQDG_16_0,LOD SQDG_18_0,LOD SQDG_18_1,LOD SQDG_18_2,LOD SQDG_18_3,LOD PEPI_16_0,LOD PEPI_18_1,LOD PEPI_18_2,LOD PEPI_18_3,LOD HMP-PG
19,1,7.45,0.045576858,0.005696382,0.022835194,0.101456168,0.014076319,0.000228503,0.341744731,0.00104421,0.168726154,0.286681187,0.172740184,0.003119998,0.576079948,0.077548866,0.020073657,0.309061493,0.031547799,0.052868103,0.339437307,0.131786386,0.012333052,0.077576774,0.062905368,0.014684517,0.004262686
20,1,8.04,0.056351596,0.00625706,0.028120634,0.111228322,0.016130454,0.000242856,0.33132821,0.001193595,0.163032936,0.259405218,0.16415699,0.003441185,0.542078244,0.088078141,0.018301363,0.300296123,0.030624935,0.061045205,0.322709921,0.126419825,0.010751362,0.06306389,0.051341795,0.015101362,0.003813138
21,1,9.25,0.07844894,0.007406925,0.038960265,0.13126952,0.020343173,0.000272293,0.309965515,0.001499962,0.151357015,0.203466365,0.146554168,0.004099889,0.472345936,0.109672079,0.014666657,0.282319686,0.028732281,0.077815194,0.288404605,0.115413828,0.007507556,0.033300179,0.027626671,0.015956248,0.002891185
22,1,10,0.092145641,0.008119651,0.045679044,0.14369175,0.022954363,0.000290539,0.296724175,0.001689859,0.144119873,0.168793522,0.135643328,0.004508176,0.429123432,0.123056751,0.012413741,0.271177266,0.027559149,0.088209815,0.267140979,0.108591929,0.005496932,0.014851598,0.012927215,0.016486136,0.002319726
23,1,11.08,0.079897077,0.013224499,0.070732097,0.166298103,0.043849325,0.001028496,0.255575259,0.003811574,0.200015439,0.1428525,0.175354135,0.048560612,0.382687741,0.10860567,0.050853723,0.235845171,0.023336571,0.085885895,0.225563009,0.097081545,0.039149672,0.019749686,0.0126029,0.028037832,0.007212656
24,1,11.67,0.073205731,0.016013259,0.084418487,0.17864787,0.055264166,0.001431639,0.233095759,0.004970659,0.230550979,0.128681015,0.197048002,0.072626294,0.357320096,0.100711097,0.071853343,0.216543378,0.021029792,0.084616347,0.202849118,0.090793465,0.05753404,0.022425493,0.012425728,0.03434848,0.009885646
25,1,12.27,0.066400974,0.018849285,0.09833685,0.191206955,0.066872479,0.001841615,0.21023525,0.00614939,0.261604071,0.114269336,0.219109562,0.097099869,0.33152249,0.092682718,0.093208888,0.196914437,0.018683915,0.08332528,0.179750246,0.084398807,0.076230007,0.025146653,0.012245553,0.040766089,0.01260394
26,1,12.86,0.059709628,0.021638045,0.11202324,0.203556722,0.07828732,0.002244758,0.18775575,0.007308475,0.292139611,0.100097852,0.240803429,0.121165551,0.306154844,0.084788146,0.114208508,0.177612644,0.016377136,0.082055732,0.157036355,0.078110728,0.094614374,0.02782246,0.012068381,0.047076737,0.015276929
27,1,13.46,0.052904871,0.024474072,0.125941603,0.216115807,0.089895632,0.002654734,0.164895241,0.008487206,0.323192703,0.085686173,0.262864988,0.145639127,0.280357238,0.076759767,0.135564054,0.157983702,0.01403126,0.080764665,0.133937483,0.07171607,0.113310341,0.03054362,0.011888206,0.053494346,0.017995224
28,1,14.66,0.039295355,0.030146125,0.153778328,0.241233977,0.113112258,0.003474686,0.119174224,0.010844667,0.385298887,0.056862814,0.306988108,0.194586277,0.228762026,0.060703009,0.178275145,0.118725818,0.009339506,0.078182532,0.087739739,0.058926755,0.150702274,0.03598594,0.011527856,0.066329563,0.023431812
29,1,15,0.035439325,0.031753207,0.161665401,0.248350792,0.119690302,0.003707006,0.106219936,0.011512614,0.402895639,0.048696196,0.319489658,0.208454636,0.214143383,0.056153595,0.190376621,0.107602751,0.008010176,0.077450928,0.074650378,0.055303116,0.161296655,0.037527931,0.011425757,0.069966208,0.024972179
30,1,20,0.05449745,0.027383641,0.466199859,0.250139176,0.130182028,8.07E-05,0.009963835,0.006500753,0.25216995,0.172144351,0.206878935,0.34155883,0.18706353,0.099501471,0.442676957,0.013684979,0.008748499,0.131641417,2.03E-07,0.058370275,0.026379821,0.006403296,0.005285253,0.078438795,0.023830306
31,1,21.46,0.039069011,0.02128699,0.40807968,0.203833711,0.12201852,0.004196109,0.01958981,0.011368822,0.233409394,0.161887272,0.205322327,0.362324489,0.235673739,0.169165026,0.426562503,0.01583006,0.007896891,0.139489974,0.006181716,0.042158526,0.048864361,0.007332511,0.014517155,0.071354521,0.019457923
